"","x"
"722","HAPPENING NOW: @JCPSSuper says first @JCPSKY employees to start getting COVID-19 vaccine 1/22 at Broadbent Arena. H… https://t.co/zltOADn6KR"
"723","Hate to break it to you Q Anon prats, but Donny hasn't arranged a 5D planet for you to ascend to, Drop Dead Fred ha… https://t.co/n9YM2wSZV3"
"724","@Joelcpj   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFORMAT… https://t.co/yX6nn8xegQ"
"725","“Currently, frontline health care workers, residents and staff at long term care facilities (nursing homes, assiste… https://t.co/JtU2SwUxVt"
"726","@TheOnion Must be COVID eating or maybe you’re depressed? Either way you are gross"
"727","I know Twitter lives him, but really? The guy who unnecessarily drove hundreds of miles a day, adding to our terrib… https://t.co/pOOmLQqRP1"
"728","Covid has hit Latino communities in California so hard that if I don't get it I'm going to feel like I lost some of my authenticity."
"729","@OMGTheMess This is the Great Reset the conspiracy theorists have been banging on about. Biden's inauguration will… https://t.co/9FvnVDtEta"
"730","@manduuhhDuh I wanna pet them so bad. I wish there was no fucking covid and was rich. I'd tour the country meeting… https://t.co/Onix6Xj6ti"
"731","Graveside service set 36 year-old COVID victim https://t.co/7SPxcOSMbT"
"732","How early should you get to your COVID vaccine appointment? And are there toilets? - Miami Herald...… https://t.co/R2UKN60Jx6"
"733","COVID-19 Health Care Workers at High Risk for Mental Health Issues - https://t.co/NXIwQrmdqJ https://t.co/t1AiAQ9GEL https://t.co/MZseZgfb0C"
"734","Stage/Theatre News: Gerry Cottle, circus showman and Wookey Hole Caves owner, dies of Covid aged 75: Cottle toured… https://t.co/3G7xtPeDcS"
"735","@DallasStars PLAY THE DAMN GAMES OR CANCEL THE SEASON!    No sense in postponing games................This is ridic… https://t.co/qNeKAhp8jK"
"736","Israel, the Palestinians, and the COVID-19 Vaccines: The New Blood-Libel https://t.co/nN33TAsqBY"
"737","@MotherJones COVID pain too. #naturalconsequences"
"738","I want to remind Albertans that sport, rec &amp; fitness and restaurants have been closed/restricted since November 13.… https://t.co/tShc8aQmy0"
"739","@Beach_mechanic @NewYorker i lived in California throughout this pandemic...and didn't encounter 1 person in a year… https://t.co/2VeHCE88GU"
"740","Elders at Indigenous retirement home in Toronto receive COVID-19 vaccine | CBC News https://t.co/j2Ow1XLO6C"
"741","I miss axe throwing, go cart racing and going to grab a mf drink wherever and whenever I want. I’m MF TIDEEEE of covid &gt;:("
"742","The recorded death count from the Covid-19 pandemic is nearing 2 million. The true extent is far worse. https://t.co/w813jdy5ix via @WSJ"
"743","how are they doing drag race with covid do they all get tested before or what"
"744","@TravelBugsWorld @FansFair Little harder with Covid. But if you’re willing to quarantine your first country, it’s p… https://t.co/39Txbkzwdl"
"745","@Semi_Gatorfan Like the most it was complications from Covid.  He had been hospitalized for a couple months."
"746","@sapiofoxxy Many won't like this,but it is becoming crystal clear that the High Priests of the covid cult must meet… https://t.co/foOPSZePPH"
"747","First $67.3 million in COVID aid disbursed to Minn. businesses https://t.co/qxfahpi6C8"
"748","Can we finally admit that Covid was used as a political tool for Dems to destroy the President!?  And that Liberals… https://t.co/VNUZtHeu1I"
"749","Five total cases of COVID-19 variants now in BC - My Cariboo Now https://t.co/41eibUc0qb"
"750","Can’t wait for people to get their stimulus checks and start spending it <U+0001F44C>

Joe Biden just released his $1.9 trilli… https://t.co/lPAKyWbpLE"
"751","Covid got me asking my parents for permission to go places like I’m 15 years old again. I’m 28 years old."
"752","some people are really out there playing chess with covid by going out everyday, not keeping their distance and sti… https://t.co/P1AcOaQ79A"
"753","This should be... interesting.

Porter seems of the type that would be laughing at Drew for getting Covid. 

https://t.co/n39RE3P2UI"
"754","@FBI @FBIWFO @ChrisCuomo  @donlemon @jack  @Comey  It's every where.. GOP cowards bitch about covid staying home &amp;… https://t.co/XPfq4g3QJ6"
"755","I don't normally praise a Tory MP but fairplay to Mr O'Brien for calling out @toadmeister utter Covid-denying Bulls… https://t.co/JSkSsnPRf3"
"756","Post-holiday COVID-19 surge hits new deadly records | TheHill https://t.co/uZbM3snJcd"
"757","this tweet is the bat that caused covid x https://t.co/OAQFw9Pp33"
"758","Covid Brazilian variant sparks South America travel ban
https://t.co/PFV0TRKumv"
"759","@mtarm How do the Gov lawyers sleep at night??No realm of sanity to continue fighting/opposing this.Maybe if there… https://t.co/1L6yM9ugzg"
"760","We are loving this ""criti-fictional course-syllabus from the year 2070” that imagines a syllabus for ""Food Pasts, F… https://t.co/k7Uh0dSQV8"
"761","@MelissaFGreene   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISI… https://t.co/x2Ivpp2jP2"
"762","@SenWarren @DataProgress As Democratics we must unite solely with President Biden. To get the agenda done for the A… https://t.co/eMOaHp73ke"
"763","@NicolleDWallace It is painful enough to deal with what many of us have lost from Covid &amp; Trump.  Please, warn us b… https://t.co/Mfkz0fOln6"
"764","Things I did in this room while you were standing me:

I started the Logic / G Eazy / Jack Harlow topic 

Defended… https://t.co/Iwrt0bVIqZ"
"765","It’s not called “covid pandemic”

It’s called “<U+0001F449><U+0001F3FF>new<U+0001F448><U+0001F3FF> world order”"
"766","So happy my covid results came out negative <U+0001F44F><U+0001F3FC>"
"767","@a_eridani @gojoe_joe @RickResisted And with covid, there was every “excuse” to show up with a mask. 

But nope. “Masks are tyranny!”"
"768","#Arizona #Auto #Glass #Replacement
$50 - $200 Cash Back With #Windshield Replacement
Approved By All #Insurance Com… https://t.co/o2oXqZRpu5"
"769","@BaltimoreLiter1 @SonjaSantelises Hi, friend. Earnest question, that I also asked the teacher from OP: what do you… https://t.co/1grKXlZcEX"
"770","Y’all really believe 40,000 niggas died from covid in 2021 already<U+0001F602><U+0001F602><U+0001F602>"
"771","@garethicke https://t.co/Q2wywCQlB5

The fact people think it is all ""Hunky Dory"". The MHRA, the ""Independent"" Gove… https://t.co/Mi9yVTCHbG"
"772","@HumbleNHandsome @staredux @ManDaveJobGood @mattveiko Vietnam had COVID.... they eliminated it just like we did in NZ..."
"773","this tweet is bizarre for many reasons but mainly: <U+2063>
<U+2063>
1. i promise, anyone who has experienced being houseless and… https://t.co/1N87xVeXQi"
"774","lmaoooo as if COVID was enough a new strain of bird flu is popping up. United States is gonna drop the ball again w… https://t.co/Qyrq2JgaHv"
"775","@NSWHealth Great figures 98% try 99.999 are nothing to worry about that 000.001 is a very old person who is frail w… https://t.co/4E9fkS8f2l"
"776","Yes. Kids need to learn, socialize, and develop, no matter what else is going on. Their lives can't wait for age ap… https://t.co/IXgiwoVwvY"
"777","Does anyone have the full list of artists that are blacked out now because I've lost count

Regarding playing durin… https://t.co/eLAOdWMWXs"
"778","COVID-19 vaccination information can be found here: https://t.co/gY0aeO4cjd"
"779","@Mug7k gonna try it when the vaccine for covid is improved and distributed. Cause I don't wanna risk getting covid… https://t.co/MmgDySQf5a"
"780","Just got my second covid vaccine a couple days ago. I hope we get to point SOON where we can get back to [almost] normal..."
"781","Very grateful for my opportunity to get the covid vaccine tomorrow <U+2728>"
"782","#oxigenioparamanaus
Covid eruption in Brazil's largest state leaves health workers begging for help https://t.co/S7mYKDIjJd"
"783","Scariest thing is most of those without a single thought of how dire this covid situation is and the need to adhere… https://t.co/NgXEIqlbnc"
"784","Hello just thinking about this COVID-19 &amp; how we handle it – J &amp; I did 2 wks in Sydney- we had come via Auck where… https://t.co/kHFBIgejYp"
"785","@CBSPhilly A COVID factory just waiting to happen, forced on the residents of #southphilly"
"786","I NEVER LIE AS AN ADULT &amp; I CAP SO YOU READ A REAL WORD. SO CHILL FOR THIS PLEASE: THE FIRST OF SORTS; MODICUME OF… https://t.co/uFHD6Fj1ke"
"787","So @GavinNewsom @LondonBreed @LibbySchaaf what is your answer to buoy your tax base and keep the Bay Area vital?  C… https://t.co/kHn3Fj8GD3"
"788","This was back in May, I didn't see any of this...
PM offering $75 million more in COVID-19 aid to Indigenous people… https://t.co/ACKN7aQM6H"
"789","@Aussie_Foodie Because of where I've come from, I don't have to.
However, I'm going to continue acting as though I,… https://t.co/tSJx6A229Q"
"790","@SteveBakerHW is of course at liberty to express his opposition to Boris Johnson and his covid strategy, just as Bo… https://t.co/AsbWYrcqjp"
"791","This is the New Deal for the COVID pandemic https://t.co/cKvdSu82e3"
"792","I have covid :( I didnt have symptoms but now I have fever wtf"
"793","https://t.co/aWSXjtnwnD Declaraciones de @AScappini, Business Analytics Manager en @Renfe_SNCF_Es"
"794","@burdish @SaraCureton @ClaudiaWebbe The reality is much more complicated. Students are paying too much *and* staff… https://t.co/UDJS3TTC7Y"
"795","@darrenmark69 @pat_data_man @duelistjax @NeilClark66 Also much like Covid many people incorrectly assumed it was ""j… https://t.co/qnUBMbZTlN"
"796","Under the county's latest directive, libraries and some and some public health and park services will be reduced un… https://t.co/LudCYYZYOY"
"797","Worst thing about covid is not being able to taste or smell <U+0001F62D>"
"798","@AgeUKCheshire hope u can advise. My Gran is92 &amp;just home from 6 wks in hospital after a fall. She has multiple bro… https://t.co/yY8OFWH4sO"
"799","@photoedfade @BlondeHistorian Unfortunately yes, although covid may have helped as social distancing means people k… https://t.co/1pedpTg2t5"
"800","@DWUhlfelderLaw As if this guy @GovRonDeSantis has any room to talk about suppression of information. What's going… https://t.co/Lh1nbkwf0Z"
"801","I get worried when I don't see my tweeters tweet,until covid is gone,you better tweet regularly people,you hear!<U+0001F621>"
"802","BREAKING: MaineHealth told some 300,000 patients it will start scheduling vaccines as soon as next week, and will s… https://t.co/AvnlJNCMbp"
"803","President-elect Joe Biden is set to call for a $1.9 trillion plan to help Americans weather the economic shock of t… https://t.co/9JMU0M8Yrv"
"804","ANNOUNCEMENT: #UAIIcommunity today our #UAII Community Clinic is offering a $50 gift card for New or Existing Clien… https://t.co/NpHC310sui"
"805","@DonaldJTrumpJr This is as believable as injecting bleach to get rid of COVID."
"806","Angela Merkel said she will lockdown Germany for over 10weeks if coronavirus infection count doesn't fall. The Euro… https://t.co/MkQ8R6IZWa"
"807","Wake up, and stop thinking of yourself. Spare a thought for the thousands of non covid deaths, stop and think about… https://t.co/Z5Qb5gCDgA"
"808","Am approved by the Covid restrictions to go. Currently they classify me as not a “Necessity” since I’m not su!cid!a… https://t.co/ua3SgqPWzX"
"809","@JenLingeman @DrTomFrieden Anecdotally, my ex-wife runs a busy open-plan department store. No workplace transmissio… https://t.co/7sZEh8txHz"
"810","@JJ37984814 @SutterHealth Go to ""Appointments"" and ""Schedule"", and you will be given a big set of panels, one of wh… https://t.co/8SaeJdvD6k"
"811","@zara_k01 @NasheedWallace The summer before Covid I went to about six south Asian weddings all clearing 500 people… https://t.co/S6AFUvDDin"
"812","@British_Airways Hi I’m due to fly home from Japan to the uk on Monday the 18th at 1.15pm Japan time 4.15am uk time… https://t.co/LeFgMaYSEv"
"813","@mmpadellan And because of Covid. Don't forget the pandemic."
"814","So I felt like crap from the 1st dose....but I’ve had COVID and apparently the first dose kicks your ass if you’ve… https://t.co/gd7hQ8eyZh"
"815","@nkotbdollgirl @DonnieWahlberg I know we we will!! Miss seeing you though!! Amanda and her husband have COVID.  I f… https://t.co/ZQnG8a66zh"
"816","@JustinTrudeau Already since the beginning of 2021..already 30 flights have arrived in Toronto with Covid positive… https://t.co/DVG4Qr5Lfx"
"817","It's pretty sad, thousands of people are dying every day from COVID, tens of thousands of people are out of work &amp;… https://t.co/Hm4loQis8H"
"818","90,000 people dead from #Covid in the UK. Let that sink in. It's like someone killed off the entire population of C… https://t.co/QkVTo4vw2H"
"819","Just heard a person is dying of Covid every 6 minutes in LA County. Is this what those people who repeatedly minimi… https://t.co/t58Hn5u6W0"
"820","From Ecuador she recounts how prayer helped her family overcome Covid when she was pregnant:
“I know that prayer sa… https://t.co/cN0F65pHFj"
"821","Post-COVID lungs worse than the worst smokers' lungs, surgeon says - CBS News - https://t.co/GCZxUDiVH7 via @shareaholic"
"822","UK reports another 48,682 Covid cases – record number now in hospital with disease https://t.co/96xdiuPbXk https://t.co/XOmdlKfqYl"
"823","@phalanges_1121 It's hard to tell if something comes from the #NewsInfluencers or real, reliable, factual news sour… https://t.co/t0u02VJm2L"
"824","I have to sneeze in a public place but it’s not COVID I’m just allergic to this cancer y’all keep smoking around me"
"825","So apparently you need an ID to get a Covid test, but not to vote??"
"826","COVID-19 update: Victoria records no new local coronavirus cases from 15,010 tests
https://t.co/R1Bx880Tfn"
"827","Back to work after kicking Covid's butt! Thank God! Your fave nurse is back<U+0001F929><U+0001F60A> https://t.co/VyNFM1zVHA"
"828","@JosueMe24810159 @8NewsNow Because the CEO who helped push out Wynn is a raving lunatic who want people to be chipp… https://t.co/78QJ1xjQnD"
"829","UK will ban ALL travellers who have been ...

More: https://t.co/nz0UkXcDOd

#Air #Body #Call #Cargo #Company… https://t.co/diCzZcortJ"
"830","I am once again asking for somebody to come and hold me...Covid safe...and respectfully. Thank you <U+0001F974>"
"831","@WarnTV It’s just a rumor, every game it’s getting delay because of COVID and pushed date to next year,so that will… https://t.co/GRT02nCKGR"
"832","@Pete44220708 @ChrisDB101 @MrHarryCole The point is Covid is running rampant in NHS hospitals at the moment, obviou… https://t.co/Phi5HEg3Ul"
"833","I get my covid test results back tomorrow <U+0001F600> funny how I got exposed at WORK of all places but had to work bc the go… https://t.co/YMPVbIq49W"
"834","How to sign up for the COVID-19 vaccine in Butler County https://t.co/9RJxJ5LANf"
"835","@HumbleNHandsome @GeekgirlNZ @staredux @ManDaveJobGood Trees can’t get COVID that’s why Nam doesn’t have any cases,… https://t.co/8qn3kEhp1h"
"836","@RepJayapal @DennisChristo4 I think we have heard enough about the masks. My daughter and son in law have Covid. Do… https://t.co/speD9jHKQE"
"837","@IzzyDew My favourite line is ""defended religious liberty...to ALL people of faith"" - unless you're Muslim. And Nor… https://t.co/V6LRiX6QFF"
"838","@andymilonakis Sick! I went to the Beyond the Streets art show before covid out here in Los Angeles. It was dope!"
"839","@EnglishTeach07 @atkins_jay should write an op-ed about this. If you want schools to open, you need to keep our tea… https://t.co/SF5bMXsfWf"
"840","Covid-19: Brazil hospitals 'run out of oxygen' for virus patients https://t.co/u73XbdZ3e3 https://t.co/AipGl5A37S"
"841","@PalmerReport I'm very much impressed by President Biden's COVID relief plan https://t.co/umBRtlKh1S"
"842","Over 23 million cases of covid in the US so far.. almost the entire population of Australia and almost the entire p… https://t.co/mn9V7edJSV"
"843","Monument Board Of Trustees Passes Resolution Opposing COVID Restrictions https://t.co/3MJWvpa61y https://t.co/v1oAKV32N4"
"844","YOU GUYS— I woke up from a post-Covid vaccine nap and my husband took it upon himself to order takeout WITHOUT CONS… https://t.co/jYOGgA3jYG"
"845","COVID-19: Sask. reports 312 cases, 201 recoveries, record hospitalizations https://t.co/yuvzmvRzqO"
"846","Day 14:

COVID-19 is getting worse."
"847","National Guard Provides Covid Vaccine Help in Overwhelmed States https://t.co/TIKgsAabPW https://t.co/kcGaAFi6GH"
"848",".@JoeBiden is prepared to to crush COVID-19 and #BuildBackBetter. That's why his relief package will:
 
<U+2705>Contain th… https://t.co/BqejvAXekl"
"849","COVID's toll on smell and taste: what scientists do and don't know - https://t.co/xC6uFoDywp https://t.co/DKqFGtT9kF https://t.co/pplbPj7jaN"
"850","Settlements dwellers smell Covid corruption https://t.co/zndlii4AG3"
"851","up coverage
urban covid
unemployment capitol
unarmed calls
updates coronavirus
ultra cargo
upgraded censure
use cindy"
"852","@RCatNola   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINFORMA… https://t.co/jXliCqNu7d"
"853","@breckyunits @yuhline @NeilClark66 Man! Yeah my fucked lungs and heart months after my Covid infection thank you for this bullshit."
"854","Biden’s Cabinet picks are a missed opportunity for change we need in a COVID-19 recession - USA TODAY https://t.co/BhwQe160lQ"
"855","I just want to take the time to say  thank you to @JaredDines for being one of the positive impacts in my life that… https://t.co/IBvYWxqmpl"
"856","“We appreciate our vaccinators are looking ahead, however, teachers are not currently eligible for the COVID-19 vac… https://t.co/GHbPdB0c1q"
"857","@angelayee you not doing the black party this year for your bday with Larry ? Not tryna get covid huh"
"858","trashnite with covid
https://t.co/uynGI9kZS0"
"859","Texas becomes first state to give out 1 million doses of COVID-19 vaccine | The Texas Tribune https://t.co/NGDOXLY6Fv"
"860","Heard on the news that about 92,000 people are expected to die from COVID in the next 3 weeks... please wear a mask… https://t.co/xLw6KzMOy6"
"861","NACDS says they can give 100,000,000 covid vaccinations in one month.  Hit ‘em up.  HOME - National Association of… https://t.co/kR6WKI7UBV"
"862","Protecting Scarborough - Town Hall Discussion with @LisaEsther6 @DeenaLadd @DolyBegum addressing how we can best pr… https://t.co/4RhLzzIXDm"
"863","@laurenboebert @TheDemocrats Created by the biggest idiot to ever sit in the office of the president. Obama left hi… https://t.co/L4sVKP9l6l"
"864","throwing a party for only people who have tested positive for covid...how bout that"
"865","People ask me if I ever played paper magic. Before covid I barely played arena, I would have the most fun playing w… https://t.co/hJNqBlicCN"
"866","@PatrickDailey It’s a real bummer. We’d had the pass for a little over a year when Covid hit and it was a nice way… https://t.co/avoXrDhxvi"
"867","Early reports were of an unknown viral pneumonia which was highly contagious.

Then name COVID-19 got slapped on, a… https://t.co/tdiyEuQhR2"
"868","@kelvmackenzie This is absolutely outrageous.  @NicolaSturgeon must resign immediately and deal with her quarrel wi… https://t.co/Lh82LsF4bc"
"869","When I used to see the #COVID-19 spread numbers, I would be very disappointed. Now #vaccines offer optimism for 202… https://t.co/raHdEjMHQz"
"870","Mass. is 32nd in terms of administering the doses we've been sent and 34th in terms of per-capita coverage. Totally… https://t.co/bEKOxXrdpE"
"871","tell me what ELSE you are doing 

- are you increasing ventilation?
 
- have you bought a high-quality hospital-gra… https://t.co/vrqzzDL1hQ"
"872","I'm not talking about the situation anymore I'm so done with people idc if they unfollow it dont hurt me ...I'm goi… https://t.co/7s06LKo9mV"
"873","The South Carolina men's basketball team returns to action after its latest COVID-19 pause but will be without hc F… https://t.co/X00OuewvIw"
"874","@mayawiley Congratulations @ASlavitt , you're my go to newsfeed for COVID-19 updates."
"875","The Stars' COVID outbreak threw off of their plans in terms of roster and cap management. 
Luckily, the front offic… https://t.co/QDFixf4IuZ"
"876","This - from the people who’ve got everything wrong on Covid - is obviously deranged, given we’re now in the worst p… https://t.co/usABZ2bINh"
"877","I just signed up for my Covid vaccine!!!"
"878","@Kat72541592 @GovRonDeSantis Florida’s surgeon general: “The federal government has advised that this is a federal… https://t.co/otXTprqtOf"
"879","@jettstranded OP caused covid to happen i think"
"880","*Open Photo*

Cyclists in Utrecht <U+0001F1F3><U+0001F1F1> wait outside in line next to idling cars waiting in line for COVID testing. <U+0001F44E> https://t.co/coOAdvLAe9"
"881","I miss pre covid and walking in the club hearing doin it by moneybagg"
"882","@JuliaDavisNews   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISI… https://t.co/joHoha2Le5"
"883","@Cjbond_cj @newsmax Seriously? The list is way too long. If you don’t know you’ve been in the dark for the last 5 y… https://t.co/MZpJssSM99"
"884","@FrankConniff @bobcesca_go We also know that the people who listen to his stupid COVID advice are more likely to fa… https://t.co/y6A4QnnnNz"
"885","Moderna CEO says the world will have to live with Covid 'forever' @CNBC https://t.co/CZwS6nfPec"
"886","In a newly published article, Keith Barnhill, Ph.D., CRNA, ARNP, et al., presents a 3-phase reopening framework use… https://t.co/vP51gK8eDc"
"887","@SpeakerPelosi We need $2000/mo retroactive to March. We have lost so much during this and gained so much debt that… https://t.co/yvV1LyuutT"
"888","Something I need to know the answer to. How come I can’t make a living due to covid, yet movies tv shows and music… https://t.co/9M1wMj023q"
"889","Anyone who's paying attention knows that the COVID virus has a survival rate of 99.+% for the vast majority of peop… https://t.co/XT6qWrnwwl"
"890","@PeoplesParty_US Past Covid Infection Can Give Immunity for 5 Months – but You Can Still Transmit the Virus https://t.co/tlYJMoMEkG"
"891","took COVID vaccine last week (real) just buggin a lil but im all good <U+0001F603><U+0001F44D> https://t.co/DTAwW5eokS"
"892","@TaylorPetrey Round three = dereliction of duty for his COVID lies and inaction."
"893","@BCookstra An increase in ACA subsidies is in the new Biden Covid relief package <U+0001F64C><U+0001F3FC>"
"894","Having my usual “cooking dinner snack”.  Eating pecans while I make beef with broccoli.  I blame COVID."
"895","@walker_slim @LouDobbs @jsolomonReports And nobody dead for COVID 19"
"896","@niehaus_carl Full blown covid sounds like full blown aids. But whatever Happy recovery... stop spreading covid by… https://t.co/8sbGTaWMMR"
"897","Biden to announce $1,400 checks and national vaccination program as part of $1.9 trillion Covid-relief plan https://t.co/bTkU0vitd5"
"898","@RepsForBiden That covid wasn't as deadly as the flu"
"899","@GovRonDeSantis Maybe you should focus on what you can actually help with. Unemployment, vaccine distribution, COVI… https://t.co/DR2P8gv7ia"
"900","Three dozen mayors ask Biden for direct shipments of COVID-19 vaccine https://t.co/eZ6xK3ZM0j"
"901","@DonaldJTrumpJr @fanfan21 Cuomo lied about having COVID! Don Lemon is an embarrassment!"
"902","An amazing example of efficiency!  Received my first poke of the COVID Vaccine today @chandlergilbert!  Thank you… https://t.co/mV73YjulFz"
"903","@FrankieSk8 Sorry to hear it i know how you feel we lost 9 family members since octomber 6 of them to covid then i… https://t.co/HSW6xDadOQ"
"904","Is @NHSEngland &amp; @GOVUK going to “buy” into private hospitals like @NuffieldHealth @spirehealthcare to provide urge… https://t.co/dU2vcJYolx"
"905","I spoke with a #WIAssembly staffer earlier, &amp; mentioned setting up mtgs with legislators in the time of COVID. He s… https://t.co/xIbsW7vVmB"
"906","Biden’s $1.9 trillion Covid relief plan calls for stimulus checks, unemployment support and more

Read:… https://t.co/wdSnHKoDfg"
"907","@fullcupmcgee @HertsPolice See it's attitudes like that, mean we are gonna have to endure covid for even longer bec… https://t.co/jdoQ2qUsdo"
"908","@ms__ogynist Does this mask make my covid look big?"
"909","Governor Hogan Announces Expansion of COVID-19 Vaccine Eligibility for Marylanders 65 and Over https://t.co/qKJ6eQr3Mw"
"910","“She says patients who've had COVID-19 symptoms show a severe chest X-ray every time, and those who were asymptomat… https://t.co/vdphB8TkFJ"
"911","OH DEAR. LOOKS LIKE SHARES IN TWITTER HAVE CONTRACTED COVID 19 <U+0001F927><U+0001F927><U+0001F927><U+0001F637><U+0001F637><U+0001F637> https://t.co/HvWMtWc4HP"
"912","In 2020, Australians in numbers stormed Parliament Houses across the country with weapons, tying kits and nooses de… https://t.co/1o9wkq0BPQ"
"913","I just want a work from home job! I’m not going back to the nail salon especially with all this COVID shit!"
"914","@__ambell It was also a line forged out of the New Zealand fundamentalism of your favourite academic. Given how int… https://t.co/vrE4cgcjME"
"915","@Tesla I’m a Canadian who lost my employment because of Covid-19 ...
I’m a huge fan in fact many of my family and f… https://t.co/rDHEgmOC1y"
"916","Nigeria gave WHO cholera vaccine in 1971, but lame today against Covid-19 https://t.co/FMGIntzqD1"
"917","@BizarrePixels Nah, that's the good news, i was worried that i had COVID"
"918","The national news networks are currently showing persons 65 and older getting the COVID vaccination in California a… https://t.co/YGBwFyrs0n"
"919","@TeaBoots Some woman sharing her grievances somehow is supposed to imply that Covid's a hoax ? <U+0001F602><U+0001F602><U+0001F602> Yeah, this is re… https://t.co/wlfExVCizE"
"920","@loudmouthlyric Even if I got COVID, UA still wouldn’t give me my money back. <U+2764><U+FE0F>"
"921","@jaymeecuddy2 @fordnation This is a news article based on a scientific study, I would seek out the study and give y… https://t.co/q9O50CMi6N"
"922","A COVID super spreader machine with lethal consequences for your children, but ppl sit here and say yeah open up"
"923","@jimmy_dore Past Covid Infection Can Give Immunity for 5 Months – but You Can Still Transmit the Virus https://t.co/tlYJMoMEkG"
"924","@FanJokic @NBABlackburn My sources are telling me Jokic was out playing Pokémon go and contracted Covid 19"
"925","@cheriespicee we will be unstoppable in those parks the day it is covid safe, whenever that may be; we are ready <U+270B><U+0001F3FB>"
"926","@StevijoPayne @wjmason12 I'm sorry. Covid took my Uncle Eddie too."
"927","“Vaccine tourism”: Florida visitors can get COVID shots, and residents aren’t thrilled - The Wall Street Journal https://t.co/1KyFaNuBCe"
"928","In New Jersey, people 65 and older and people 16 and older with high-risk medical conditions are eligible for the v… https://t.co/GA1WmlAUi2"
"929","My uncle who I always dog sat for has Covid... hoping he’ll be okay <U+0001F643>"
"930","One of my biggest fears with our horrible response to COVID and sluggish vaccine distribution was the emergence of… https://t.co/haM0MhJLxA"
"931","@glenj85 @fransi1803 @benitakolovos Zero cases of covid. But Victorians cant return home. Everyone has lost the plot."
"932","@BobLeeMD @DrSamuelBrown Grateful to see the new review article out, following three rounds of peer review per Dr.… https://t.co/S0YcWGjurX"
"933","@alwaysgivingout Wonder where he is now probably taking part in rallies against masks and Covid restrictions since he’s so “pro life”"
"934","@Channel4News @vsmacdonald Keep up C4, people have been screaming about this for months!You lot have probably been… https://t.co/5xLEyCkE6O"
"935","@RickShanahan Unfortunately we live in a society that tends to take their sick and their elderly, lock them away li… https://t.co/D14lyyVQOV"
"936","Does anybody else feel like anti-maskers and people who compare COVID to the flu should not get a vaccine shot?"
"937","@davidluhnow @WSJ DAMN <U+0001F615> <U+2192> @davidluhnow @WSJ: #Brazil is ranked number two in the world lists of #COVID<U+30FC>19 fataliti… https://t.co/GuD3pIB6QK"
"938","Drove an hour to campus to spit in a tube <U+0001F610> yay covid testing"
"939","Someone using the gym attached to my work's building tested positive for COVID (they share the elevator &amp; garage).… https://t.co/ODTfv0uLGs"
"940","@AureliieGuigues @alicextn Notre goal a tous post covid : un bbq <U+270C><U+0001F3FB><U+0001F602>"
"941","@tleehumphrey Better not be COVID enforcement related..."
"942","Hey Guys, There's an Anti-dote to Covid Believers!
I wouldn't take it, I have developed a Natural Immunity from My… https://t.co/oCSg4KXsC2"
"943","Coping With the Changes COVID-19 Created in Employees' Workday https://t.co/nXwLTsshEv #employeeexperience #virtualmeetings"
"944","@JoeBiden Does it include the expansion of FFCRA to include 2 weeks of COVID-19 sick leave and time off for school… https://t.co/RvrsNLjOCL"
"945","Much more info available online about it now: https://t.co/XZ99qhvZck"
"946","@turoczy COVID BEARD FTW!!"
"947","bUt COVID rELiEf wiLL iNcReAsE tHe dEfiCiT https://t.co/rQxAPQQZOE"
"948","I read here that a symptom of Covid is hip joint pain, which started for me a week ago but is gone now..."
"949","@toadmeister @toadmeister
I apologise in advance for old fart language, it's my age, excuse me

I'm in casualty 

(… https://t.co/Jky1vgBdAI"
"950","@jessesingal What if Implicit Bias backfires and makes the problem worse? https://t.co/0DoDzItt5M

Defenders of the… https://t.co/0fgq4HtDMd"
"951","@TheyEnvyZi 6:30 and covid got no bars open in Seattle"
"952","Working Women of Color Were Making Progress. Then the Coronavirus Hit. https://t.co/wzHumDlr9L"
"953","My heart goes out to anyone who is mourning a loved one, just hearing so many covid stories and it's scary how people just die"
"954","Even better, sign the covid stimulus checks at the bottom “Black Lives Matter”"
"955","Young doctor explains why he’s against forced COVID-19 vaccine. https://t.co/BNEfDxLMGp"
"956","While Covid pushes the NHS to breaking point, private healthcare is thriving | Polly Toynbee | Opinion | The Guardi… https://t.co/Y4rMO2ZERu"
"957","I wanna see what happens after people take the vaccine and COVID cases are still rising <U+0001F928><U+0001F9D0> https://t.co/3oRDXpH9qj"
"958","Post-COVID lungs worse than the worst smokers' lungs, surgeon says - CBS News https://t.co/B5MDNeG49v"
"959","False rumors of spare COVID-19 vaccines on social media spark frenzy in NYC https://t.co/Yw4dBbNTDp via @nypmetro"
"960","@biologistimo Not uno but can suggest Covid based monopoly! My friend coded this game!

https://t.co/y5HfgRff04"
"961","It’s taken a pandemic, but I honestly feel like covid, and Zoom audiences (on Question Time) are bringing us more c… https://t.co/mwuEmbbsd4"
"962","@LesStonehouse Does Covid make your hair fall out ?"
